loaded	UniqueID	collection	name	sample	count	notes
1	BLANK1_run5_NA	BLANK1	BLANK1		NA	
2	161_run5_1	fdom_lagoon_4_2022	161	1	1	label says 186 and rerun
1	162_run5_2	fdom_lagoon_4_2022	162	2	2	
2	163_run5_3	fdom_lagoon_4_2022	163	3	3	
1	164_run5_4	fdom_lagoon_4_2022	164	4	4	
2	165_run5_5	fdom_lagoon_4_2022	165	5	5	
1	166_run5_6	fdom_lagoon_4_2022	166	6	6	
2	167_run5_7	fdom_lagoon_4_2022	167	7	7	
1	BLANK2_run5_NA	BLANK2	BLANK2		NA	red blob in 450 to 500 range
2	168_run5_8	fdom_lagoon_4_2022	168	1	8	
1	169_run5_9	fdom_lagoon_4_2022	169	2	9	
2	170_run5_10	fdom_lagoon_4_2022	170	3	10	
1	171_run5_11	fdom_lagoon_4_2022	171	4	11	
2	172_run5_12	fdom_apr_2022	172	5	12	
1	173_run5_13	fdom_apr_2022	173	6	13	
2	175_run5_14	fdom_apr_2022	175	7	14	
1	BLANK3_run5_NA	BLANK3	BLANK3		NA	off blank with photo in notes
2	176_run5_15	fdom_lagoon_4_2022	176	1	15	
1	177_run5_16	fdom_lagoon_4_2022	177	2	16	
2	178_run5_17	fdom_lagoon_4_2022	178	3	17	
1	179_run5_18	fdom_lagoon_4_2022	179	4	18	
2	180_run5_19	fdom_april_2022	180	5	19	
1	181_run5_20	fdom_lagoon_4_2022	181	6	20	
2	182_run5_21	fdom_lagoon_4_2022	182	7	21	
1	BLANK4_run5_NA	BLANK4	BLANK4		NA	
2	183_run5_22	fdom_lagoon_4_2022	183	1	22	
1	184_run5_23	fdom_april_2022	184	2	23	
2	185_run5_24	fdom_lagoon_4_2022	185	3	24	
1	186_run5_25	fdom_apr_2022	186	4	25	
2	187_run5_26	fdom_lagoon_4_2022	187	5	26	
1	188_run5_27	fdom_lagoon_4_2022	188	6	27	
2	200_run5_28	fdom_apr_2022	200	7	28	
1	BLANK5_run5_NA	BLANK5	BLANK5		NA	
2	202_run5_29	fdom_april_2022	202	1	29	
1	203_run5_30	fdom_apr_2022	203	2	30	
2	204_run5_31	fdom_apr_2022	204	3	31	
1	208_run5_32	fdom_apr_2022	208	4	32	
2	209_run5_33	fdom_apr_2022	209	5	33	
1	lter_6_fringe_run5_34	fdom_lter_6_fringe_4_22	lter_6_fringe	6	34	
2	lter_3_bac_run5_35	fdom_3_bac	lter_3_bac	7	35	
	BLANK6_run5_NA	BLANK6	BLANK6		NA	bad blank similar to blank 3
	opu_1_run5_36	fdom_apr_2022	opu_1	1	36	
	opu_2_run5_37	fdom_apr_2022	opu_2	2	37	
	lter_3_fringe_run5_38	fdom_apr_2022	lter_3_fringe	3	38	
