Sample Name,Raman peak area of blanks,Total blank1 RU,Total Blank2 RU,Total sample RU after blank subtraction,Position in final database,M:C,BIX,HIX,FI,Ultra Violet Humic-like,Marine Humic-like,Visible Humic-like,Tryptophan-like,Tyrosine-like,Phenylalanine-like,Fulvic Acid-like,Optical Brighteners,Diesel Band II,Petroleum-like,Lignin-like,PARAFAC1,PARAFAC2,PARAFAC3,PARAFAC4,PARAFAC5,PARAFAC6
ReRunBLANK4:Blank: Removed from final dataset,35911.6571965659,73.5404469882002,82.784415496321,0.107519567644642,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReRunBLANK5:Blank: Removed from final dataset,36469.5647217186,72.4154330460028,79.3442639503527,0.0967588112710085,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBLANK1:Blank: Removed from final dataset,36476.0012172381,82.1277645732702,77.2713508640512,0.172665247794925,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBLANK2:Blank: Removed from final dataset,37027.0725299973,76.1213267911291,73.3935561399937,0.245274984466938,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBLANK3:Blank: Removed from final dataset,36476.0012172381,82.1277645732702,77.2713508640512,0.172665247794925,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBLANK4:Blank: Removed from final dataset,36476.0012172381,82.1277645732702,77.2713508640512,0.172665247794925,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBLANK5:Blank: Removed from final dataset,36476.0012172381,82.1277645732702,77.2713508640512,0.172665247794925,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBLANK6:Blank: Removed from final dataset,36476.0012172381,82.1277645732702,77.2713508640512,0.172665247794925,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBLANK7:Blank: Removed from final dataset,36476.0012172381,82.1277645732702,77.2713508640512,0.172665247794925,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBLANK8:Blank: Removed from final dataset,36476.0012172381,82.1277645732702,77.2713508640512,0.172665247794925,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBLANK9:Blank: Removed from final dataset,36476.0012172381,82.1277645732702,77.2713508640512,0.172665247794925,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C17_L_D_3_30_0700,34885.7104210245,66.0419384029055,63.7179028294389,81.8415690621272,1,1.20129380162916,0.834719503981463,1.2408277621192,1.69149827829889,0.0371691492901248,0.0438116022834236,0.0364703474071103,0.088203963704506,0.108884136037077,0.0463635301340791,0.0155946853513958,0.028641323084837,0.0113918018222746,0.0362928162264756,0.0868971512262524,0.0827793331882882,0.0602343270640125,0.067049759758071,0.104866103699557,0.0311975244117772,0.0723172221863242
C09_H_D_3_30_1300,34885.7104210245,66.0419384029055,63.7179028294389,58.9961124794917,2,1.43564008419082,0.986853504436406,0.444475393765992,1.64983272621183,0.0158744278353125,0.0209502904870324,0.0145929963350395,0.104966214629563,0.0968734019860969,0.0350926737778941,0.00697597189854966,0.0120147836231843,0.00491475177361442,0.0173149004372395,0.0780030275152292,0.0309000091393891,0.0723299645253235,0.0852475131879933,0.0953769406238842,0.0117384762016451,0.0674644851520628
C20_L_D_3_30_0700,34885.7104210245,66.0419384029055,63.7179028294389,80.1952590642868,3,1.42404186267045,0.862840051023025,0.74369495754601,1.62525847170714,0.037412279085324,0.0486605716731612,0.0341707452208673,0.0980855676391262,0.11023222754898,0.0327823009885132,0.0150766229158914,0.0264090431007305,0.0111354022382533,0.0352084865253819,0.100937082845262,0.078225472634279,0.0640182291993539,0.0967645854595122,0.103526673133049,0.027806882376,0.0857024795821681
C02_L_D_3_30_0700,34885.7104210245,66.0419384029055,63.7179028294389,82.5052000844444,4,1.27105364839785,0.933334189254206,0.474828105411551,1.68854857132716,0.0319531683375118,0.0390150970349228,0.0306950828425699,0.136602375001712,0.163572236716563,0.0679135259216951,0.013873252379749,0.0247459316518909,0.0106065639689805,0.0303082111321441,0.102450715640123,0.0582529181339208,0.0916873838851457,0.121758820076207,0.143068707539784,0.0234553208331509,0.12172220277674
C10_H_D_3_30_1300,34885.7104210245,66.0419384029055,63.7179028294389,57.3407907575039,5,1.28205394808658,0.768558424312958,0.984208361471544,1.63500978216746,0.025721227216839,0.0295681902235772,0.023063140414416,0.0566727573876333,0.0869004671774741,0.0272079572292169,0.0108787658362401,0.0177155512076513,0.00838136992999149,0.026083629392467,0.0516237687317177,0.0527251920205748,0.0389318148948439,0.0471565130496632,0.0615387701907255,0.0207369326407348,0.0524289013946523
C18_H_D_3_30_1300,34885.7104210245,66.0419384029055,63.7179028294389,44.6485488549032,6,1.193478246942,0.814942798378259,0.931266312404586,1.81910034159312,0.0167846549827531,0.0200450645080576,0.0167955005124042,0.0442097011684856,0.0886050247880953,0.0350723424810111,0.00688264038364124,0.0131844585699787,0.00494782584414524,0.0169662998964097,0.0357791241778382,0.0407712489190231,0.033037728777389,0.0311196000155907,0.0536264482913616,0.0130719203130001,0.0536695208086834
C11_H_D_3_30_1300,34885.7104210245,66.0419384029055,63.7179028294389,52.7270093099469,7,1.24605651299881,0.813756106239301,1.19193249008068,1.63475517018208,0.0224435133300914,0.0256991168417778,0.0206243589866796,0.0562678654482771,0.0924375717694279,0.0281241672287373,0.00932695439349507,0.0161935208061136,0.00680823846649858,0.0233699483521538,0.0655501403164172,0.0492213329774499,0.0401987596312358,0.0388354206990533,0.0636401804870238,0.018352493128457,0.0582902057321104
C03_L_D_3_30_0700,34936.7405021306,63.6248337651082,64.3743716987325,79.847445682253,8,1.46392926616456,0.914123956777246,0.700455298891426,1.61329577649397,0.0338131215160611,0.0464352122532513,0.0317195737024301,0.101917026091322,0.107799486396656,0.0438593811960896,0.0133346648411577,0.0248988056718989,0.0101088032776991,0.0299779922872827,0.0958799607230017,0.0786360329052755,0.0590911290344676,0.103582568767817,0.116378184115795,0.0233527498427558,0.0872456546205162
C04_L_D_3_30_0700,34936.7405021306,63.6248337651082,64.3743716987325,101.192251244721,9,1.28221195601669,0.84731224604913,1.08957074359138,1.64398043675187,0.0488022161079411,0.0594823974697641,0.0463904561103545,0.118627162329439,0.173244530009505,0.0592408129425289,0.0198249980016513,0.0358450246763281,0.0149403750438469,0.0456188317578812,0.101683561161818,0.105177598081543,0.0880901381266161,0.0856508743154058,0.124628904266883,0.0381131005241423,0.109659242777125
C_SeepD_3_30_1300,34936.7405021306,63.6248337651082,64.3743716987325,78.0958160196447,10,1.20217936486493,0.795068050258918,0.944541679135596,1.56830178927123,0.0342887063282887,0.0389550477587896,0.0324036902456451,0.089963727400427,0.112217944203911,0.0244108787910639,0.0151158463038906,0.0245716907023414,0.01152032658309,0.0349517539354056,0.0450275872882457,0.0700061667120748,0.065035805880428,0.0781373975484266,0.0756654954351587,0.0292462067131067,0.0721750208335057
C_SeepB_3_30_0700,34936.7405021306,63.6248337651082,64.3743716987325,106.056802808213,11,1.29833195520243,0.829323663367434,1.21561728330815,1.55204403404056,0.0551500258037534,0.0667479630338363,0.0514105524141006,0.113052179652181,0.148175480128628,0.0725619189839964,0.0229332878378649,0.0395256662701819,0.0179402527413131,0.0504970504770651,0.113817023833144,0.117223276879335,0.0826423799703407,0.0851730779088993,0.121049488784908,0.0431613723385996,0.0920312205037524
