Site,Jan2016,May2016,July2016,July2019,Aug2020,May2021,Latitude,Longitude,Distsance.to.crest,Distance_to_shore,Distance_to_pass,Distance_to_deep_lagoon_water,Distance_to_population_center,Population_center,Island_shore,Habitat,Lagoon,UniqueID,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen,sample.x,run_name,project,run_order,sample.y,group,Samplepath,Blank1,Blank2,abs,Sample_ID.x,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Notes,Sample_ID.y,Date,Weight_ug,Percent_C,Percent_H,Percent_N,C_to_N_ratio
108,Yes,Yes,Yes,Yes,,Yes,-17.51272805,-149.9225916,258.82,785.58,3303.05,909.58,6321.8,Papeto'ai,SW,Reef crest,Hauru,108_run3_34,0.0052204754763522,0.0192342295335141,0.00421164682633121,0.00663894178798618,0.0149562371743372,0.0169572322438843,0.00213656783014531,0.00397799636661256,0.00129700707305104,0.00561878009267871,0,0.904309596460215,0.787540863184538,1.43194657009457,0.634385262114002,0.885560664113234,0.113343623119871,3.04218083053606,Group005Sample0006,aroundtheisland_run3,ati,34,aroundtheisland_run3/Group005Sample0006,Group005,aroundtheisland_run3/Group005Sample0006SEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0006ABS.dat,108,0.16,0.68,0.27,1.13,"",108,4/8/2022,2219,29.98425178,4.526394561,0.578788906,51.81
109,Yes,Yes,Yes,,,Yes,-17.51138762,-149.919454,610.92,455.41,3331.71,695.42,6059.83,Papeto'ai,SW,Mid lagoon,Hauru,109_run3_35,0.00679541014948674,0.0237774365761352,0.00644083539461691,0.00932562715429276,0.0266893518537097,0.0125810354736397,0.00356417212516515,0.00537559745468417,0.0026048632410877,0.0104239513384212,0.0105890605608605,0.978325114245401,0.809764786926368,2.08653786802286,0.690659758110968,1.38939993917561,0.117382279704863,4.86225845383806,Group005Sample0007,aroundtheisland_run3,ati,35,aroundtheisland_run3/Group005Sample0007,Group005,aroundtheisland_run3/Group005Sample0007SEM.dat,aroundtheisland_run3/Group005Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group005Sample0007ABS.dat,109,0.15,0.64,0.32,1.81,"",109,4/8/2022,2663,29.1372198,4.41907696,0.623564107,46.73
11,Yes,Yes,Yes,,Yes,Yes,-17.5727299,-149.8661581,1132.18,133.13,1316.85,34.15,1831.95,Vai'anae/Atiha,SW,Fringing reef,Vaianae,11_run2_4,0.0157990383707601,0.0567370576275483,0.0176865574002545,0.0165876646330131,0.0438613986395004,0.0198994681140522,0.0102298228620296,0.0149199169460276,0.00709844322932815,0.0213934572174698,0,0.95957441797732,1.05551224127478,1.87750839462066,1.06624758768358,3.11475993408606,0.136968334658679,7.27421732593272,Group001Sample0004,aroundtheisland_run2,ati,4,aroundtheisland_run2/Group001Sample0004,Group001,aroundtheisland_run2/Group001Sample0004SEM.dat,aroundtheisland_run2/Group001Sample0001BEM.dat,aroundtheisland_run2/Group002Sample0001BEM.dat,aroundtheisland_run2/Group001Sample0004ABS.dat,11,0.15,1.05,0.38,1.03,"",11,4/12/2022,2298,26.53570267,3.474342567,0.702871093,37.75
110,Yes,,Yes,,Yes,Yes,-17.51055999,-149.9159157,999.08,71.88,3315.84,573.06,5907.78,Papeto'ai,SW,Fringing reef,Hauru,110_run3_36,0.00792209514078041,0.0256676649159149,0.00889605506993421,0.00961945764968495,0.0144908941127319,0.0147093420966511,0.00376311509555345,0.00696324231825444,0.00244654090971187,0.00929053595975839,0.00294735663161578,1.02928706949966,1.15176113564911,1.80591262104451,0.9247979869453,1.01544048553498,0.0862423649901918,3.96644969726385,Group006Sample0001,aroundtheisland_run3,ati,36,aroundtheisland_run3/Group006Sample0001,Group006,aroundtheisland_run3/Group006Sample0001SEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group007Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0001ABS.dat,110,0.15,0.64,0.35,1.28,"",110,4/8/2022,2128,29.04143612,4.378237569,0.62182883,46.7
111,Yes,Yes,Yes,Yes,Yes,Yes,-17.50318299,-149.9240371,263.63,861.28,3764.12,1683.01,5522.33,Papeto'ai,SW,Reef crest,Hauru,111_run3_37,0.010619451273951,0.0299709334348582,0.00983605797070642,0.0145879496207885,0.0294057506174519,0.00263430447946474,0.00395372563725269,0.00753202898948077,0.00293860977826443,0.0105369928967158,0.00666259899504086,0.86013468449414,0.763200269302928,1.87335961030302,0.674259112924931,1.66299268197875,0.109693239304189,5.81554945928705,Group006Sample0002,aroundtheisland_run3,ati,37,aroundtheisland_run3/Group006Sample0002,Group006,aroundtheisland_run3/Group006Sample0002SEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group007Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0002ABS.dat,111,0.12,0.66,0.35,1.81,"",111,4/8/2022,2323,29.44354162,4.506412624,0.463522893,63.52
112,Yes,Yes,Yes,Yes,Yes,Yes,-17.50348139,-149.920637,663.37,500.28,3515.03,1483.32,5315.06,Papeto'ai,SW,Mid lagoon,Hauru,112_run3_38,0.00673847984413327,0.0204977856989263,0.00664455403850196,0.00760670409848599,0.0155403995390552,0.0203102235335438,0.00277018013804563,0.0055653191352329,0.00223020196127965,0.00632054642048941,0.00864832954524846,1.09480570007747,1.0819425670355,1.83851773564433,0.873512884486261,0.971659261118705,0.100534571607983,3.42814916912282,Group006Sample0003,aroundtheisland_run3,ati,38,aroundtheisland_run3/Group006Sample0003,Group006,aroundtheisland_run3/Group006Sample0003SEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group007Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0003ABS.dat,112,0.17,0.64,0.75,1.84,"",112,4/8/2022,2769,28.99701713,4.386926759,0.524731786,55.26
113,Yes,Yes,Yes,Yes,Yes,Yes,-17.50287202,-149.91747,910.78,165.35,3309.62,1444.42,5106.02,Papeto'ai,SW,Fringing reef,Hauru,113_run3_39,0.01129432841699,0.0225938808867213,0.0118468388476185,0.0123919400702137,0.022576781704294,0.0138125803205468,0.00526563458261186,0.00973022803004124,0.00371753601814605,0.012303003526759,0.010130825241281,0.977984380053068,1.41858629147595,1.5149077386618,0.956011631793999,1.15702323689561,0.0744800835062518,4.71727014288299,Group006Sample0004,aroundtheisland_run3,ati,39,aroundtheisland_run3/Group006Sample0004,Group006,aroundtheisland_run3/Group006Sample0004SEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group007Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0004ABS.dat,113,0.13,0.97,0.91,1.61,"",113,4/8/2022,2183,27.62087718,4.029339883,0.588333752,46.95
114,Yes,Yes,Yes,Yes,Yes,Yes,-17.4954558,-149.9235728,232.78,958.34,3218.99,2430.03,5024.24,Papeto'ai,SW,Reef crest,Hauru,114_run3_40,0.00871519480950789,0.0373044736433787,0.00937111834357118,0.0109347590560626,0.0513078921671392,0.00300460106376443,0.0044392217211867,0.00780388854183565,0.00309076040894366,0.0125960147298075,0.0280089450750219,1.10711105599879,0.669908244729313,2.01070357830237,0.857002728228888,2.26534991032026,0.143298917566691,6.95882726670903,Group006Sample0005,aroundtheisland_run3,ati,40,aroundtheisland_run3/Group006Sample0005,Group006,aroundtheisland_run3/Group006Sample0005SEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group007Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0005ABS.dat,114,0.17,0.6,0.47,1.61,"",114,4/9/2022,2934,29.11656849,4.448749528,0.481957446,60.41
115,Yes,Yes,Yes,,Yes,Yes,-17.49504173,-149.9197109,520.51,588.05,2829.94,2350.51,4633.42,Papeto'ai,SW,Mid lagoon,Hauru,115_run3_41,0.00787754877028688,0.0240644230752575,0.00882522340264162,0.0087121133428367,0.0139731165655125,0.0129111665788525,0.00418965974119817,0.00678868850434509,0.00279932303407979,0.00979086295700003,0.0108632666115216,0.942070990340444,1.1897548466407,1.5601365404094,1.01298307946119,0.947716844444582,0.0778717049027319,3.93246483736754,Group006Sample0006,aroundtheisland_run3,ati,41,aroundtheisland_run3/Group006Sample0006,Group006,aroundtheisland_run3/Group006Sample0006SEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group007Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0006ABS.dat,115,0.17,0.71,0.84,4.55,"",115,4/9/2022,2023,28.47061334,4.385037171,0.455307466,62.53
116,Yes,Yes,Yes,,Yes,Yes,-17.49474971,-149.9146039,956.68,76.23,2351.61,2053.03,4146.16,Papeto'ai,SW,Fringing reef,Hauru,116_run3_42,0.00910445503286773,0.0234586336596169,0.00959790561660538,0.0109697457599553,0.0198274215489028,0.0204763443869854,0.00489284475857472,0.00714146899696584,0.00328478702431251,0.0106338184511858,0.021780815585791,1.07261238834946,1.31144033224177,1.87050794328124,0.874943305581631,1.14115918850288,0.0889907276520198,4.12413705178075,Group006Sample0007,aroundtheisland_run3,ati,42,aroundtheisland_run3/Group006Sample0007,Group006,aroundtheisland_run3/Group006Sample0007SEM.dat,aroundtheisland_run3/Group006Sample0001BEM.dat,aroundtheisland_run3/Group007Sample0001BEM.dat,aroundtheisland_run3/Group006Sample0007ABS.dat,116,0.13,0.7,0.79,1.58,"",116,4/8/2022,2642,28.88620027,4.006083131,0.550640135,52.46
