"CobleA","CobleB","CobleC","CobleM","CobleT","Fpeak","Stedmon_D","Optical_Brighteners","dieselBandII","Petroleum","Lignin","BIX","HIX","FI","M_to_C","JP5_empirical","JP5_normalized","Diesel_Chen","sample","run_name","UniqueID"
0.0037877371558167,0.0371601980411154,0.00273352340232741,0.00641884423246237,0.0163872463253786,0.0228848980733306,0.000816038213725403,0.00161920051767904,0.000566079666153139,0.00160353487961165,0.0201845230488231,1.90778367540294,0.384494602162041,1.78314660245079,0.425859127177913,1.3238074373884,0.160116096955951,4.44259921969987,"Group001Sample0001","RRCoral_1","Mo22_0750"
0.00366970468423441,0.0365879044578314,0.00319939130689419,0.00685029918060861,0.0409378601678387,0.0312095941630225,0.00138081788374356,0.00212317312550519,0.00119107838603124,0.00550047074011804,0.0523248088447738,1.83617834297547,0.313701426546572,1.75240441775245,0.46704402574866,2.24988845841156,0.180623460040424,8.11056904629874,"Group001Sample0002","RRCoral_1","Mo22_0751"
0.00318455474362737,0.0358142344710837,0.00273440827564147,0.00436207493634519,0.0213697802597499,0.00834124568806055,0.00143349215731007,0.0019737860196456,0.0014026261989461,0.00275802935338878,0.0135201501173021,1.42551539617522,0.328590522426203,2.53486138029968,0.626859537156993,1.53993797389513,0.178886795531162,5.06122208133391,"Group001Sample0003","RRCoral_1","Mo22_0752"
0.0373076554743129,0.12258420933637,0.0254708931304532,0.086696249057482,0.327550349101637,0.0590677778345065,0.0107766219840337,0.0182473795658318,0.00749773018614544,0.0353108178706174,0.351251370983288,1.59230673760817,0.503239759250983,2.49156379685524,0.293794638261284,13.4515056564818,0.159768216915643,43.1600738580534,"Group001Sample0004","RRCoral_1","Mo22_0753"
0.0331864769429887,0.157272953883706,0.0206735830607914,0.0854222603022398,0.229091294907517,0.0414499758959158,0.00785815624985343,0.0139085838803498,0.00526637828933937,0.026198429208011,0.246558079089333,1.17767969797633,0.505344422572613,2.6403144787203,0.242016343136373,10.6060941540868,0.151561975409084,35.5043066915066,"Group001Sample0005","RRCoral_1","Mo22_0754"
0.0550394569487763,0.15212966703007,0.0372295660257676,0.107673920557301,0.254818597118287,0.0692383834978077,0.0120080988892091,0.0247340125526497,0.00814599681334266,0.0374726059297247,0.278163123662336,1.07556388583884,0.630445599031928,2.529740131295,0.34576214772411,11.7837868734831,0.133715855715261,42.2991409489602,"Group001Sample0006","RRCoral_1","Mo22_0755"
0.0224222024052517,0.102725651035723,0.0172297601703332,0.04419350651366,0.270021941347031,0.0679673251607332,0.00636587990910932,0.0121812186262777,0.00451623764408332,0.0265938898440734,0.311027031805117,1.64846866056632,0.435758977665039,2.23950902658659,0.389870855009152,10.6387431053258,0.182550103041659,34.1679711414745,"Group001Sample0007","RRCoral_1","Mo22_0756"
0.0283465610998202,0.138053537776592,0.0223041607583324,0.0532416331105901,0.310991419883693,0.0413580565120826,0.0090748861802881,0.0167869072510941,0.00642148126933044,0.0279330906420926,0.256824794131469,1.54223503016008,0.422050373265637,2.36869026483054,0.418923302221096,12.5226747670108,0.184915783389753,37.6380042024052,"Group002Sample0001","RRCoral_1","Mo22_0757"
0.0221132956837506,0.121896935406033,0.019643726843356,0.0391550273270701,0.215734356198847,0.0408089991333717,0.00839954953827425,0.0196747460310415,0.00545309029849681,0.0223941190374463,0.151916490929269,1.44709948665164,0.290713350862434,2.23620614543234,0.501691051809716,10.296858702989,0.189549868945473,31.4103903550026,"Group002Sample0002","RRCoral_1","Mo22_0758"
0.0275198731512126,0.100849550554712,0.0236145584284645,0.0562609150307364,0.241939545554309,0.0387038139351379,0.0103501965947124,0.0178066564911515,0.00690630142288463,0.0242914675937741,0.19321877485883,1.65782723061073,0.498361513443433,2.27385388781168,0.419732924989995,10.3798082167356,0.171151581736405,29.0683295937569,"Group002Sample0003","RRCoral_1","Mo22_0759"
0.0461825155261084,0.210533744009646,0.0385420311595562,0.103810159308158,0.456305889391194,0.0864653717398557,0.0787195632152617,0.0296221609632961,0.0892682681303833,0.0908152647686545,0.373079476667316,1.8338850408739,0.44171356651736,1.85932112013203,0.371274174092587,19.8778803134839,0.142940853033001,54.0204331234063,"Group002Sample0004","RRCoral_1","Mo22_0760"
0.0885618680915577,0.27491042591149,0.0535196255059614,0.319877523213663,0.5950918027769,0.103338402958173,0.325952541756932,0.0390341097987327,0.391792217671459,0.318555978659556,0.347663645798558,0.897467867466751,0.560594091038736,1.7834233974728,0.167312867025711,27.0797152278487,0.0890372205417739,67.4864885898847,"Group002Sample0005","RRCoral_1","Mo22_0761"
0.0315692830827286,0.131611354761489,0.0307144022804734,0.0563163882777526,0.196589290962636,0.0707985181199719,0.0119482788250583,0.0245642726012011,0.00722875313604542,0.0295622390452648,0.157689278212964,1.52756528353909,0.614807584917298,2.23583301728605,0.545390129228278,8.88256921037566,0.151033941207493,26.439850223117,"Group002Sample0006","RRCoral_1","Mo22_0762"
0.0253699926064416,0.0812103499545639,0.0247466685094305,0.0490938449187749,0.158655505111561,0.0362206439149006,0.00866441041085387,0.0187700702013958,0.00547711966061481,0.0218185321220783,0.166309524959896,1.77802481013387,0.580937481597621,2.27129229281123,0.504068657697793,7.08332245182854,0.138310305818447,22.1497356876357,"Group002Sample0007","RRCoral_1","Mo22_0763"
