UniqueID,run_name,run_order,sample,group,SEM_file,blank1,blank2,ABS_file
Mo22_0750,RRCoral_1,1,Group001Sample0001,Group001,Group001Sample0001SEM.dat,Group002Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0001ABS.dat
Mo22_0751,RRCoral_1,2,Group001Sample0002,Group001,Group001Sample0002SEM.dat,Group002Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0002ABS.dat
Mo22_0752,RRCoral_1,3,Group001Sample0003,Group001,Group001Sample0003SEM.dat,Group002Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0003ABS.dat
Mo22_0753,RRCoral_1,4,Group001Sample0004,Group001,Group001Sample0004SEM.dat,Group002Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0004ABS.dat
Mo22_0754,RRCoral_1,5,Group001Sample0005,Group001,Group001Sample0005SEM.dat,Group002Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0005ABS.dat
Mo22_0755,RRCoral_1,6,Group001Sample0006,Group001,Group001Sample0006SEM.dat,Group002Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0006ABS.dat
Mo22_0756,RRCoral_1,7,Group001Sample0007,Group001,Group001Sample0007SEM.dat,Group002Sample0001BEM.dat,Group002Sample0001BEM.dat,Group001Sample0007ABS.dat
Mo22_0757,RRCoral_1,8,Group002Sample0001,Group002,Group002Sample0001SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0001ABS.dat
Mo22_0758,RRCoral_1,9,Group002Sample0002,Group002,Group002Sample0002SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0002ABS.dat
Mo22_0759,RRCoral_1,10,Group002Sample0003,Group002,Group002Sample0003SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0003ABS.dat
Mo22_0760,RRCoral_1,11,Group002Sample0004,Group002,Group002Sample0004SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0004ABS.dat
Mo22_0761,RRCoral_1,12,Group002Sample0005,Group002,Group002Sample0005SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0005ABS.dat
Mo22_0762,RRCoral_1,13,Group002Sample0006,Group002,Group002Sample0006SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0006ABS.dat
Mo22_0763,RRCoral_1,14,Group002Sample0007,Group002,Group002Sample0007SEM.dat,Group002Sample0001BEM.dat,Group003Sample0001BEM.dat,Group002Sample0007ABS.dat
Mo22_0764,RRCoral_1,15,Group003Sample0001,Group003,Group003Sample0001SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0001ABS.dat
Mo22_0765,RRCoral_1,16,Group003Sample0002,Group003,Group003Sample0002SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0002ABS.dat
Mo22_0766,RRCoral_1,17,Group003Sample0003,Group003,Group003Sample0003SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0003ABS.dat
Mo22_0767,RRCoral_1,18,Group003Sample0004,Group003,Group003Sample0004SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0004ABS.dat
Mo22_0768,RRCoral_1,19,Group003Sample0005,Group003,Group003Sample0005SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0005ABS.dat
Mo22_0769,RRCoral_1,20,Group003Sample0006,Group003,Group003Sample0006SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0006ABS.dat
Mo22_0770,RRCoral_1,21,Group003Sample0007,Group003,Group003Sample0007SEM.dat,Group003Sample0001BEM.dat,Group004Sample0001BEM.dat,Group003Sample0007ABS.dat
Mo22_0771,RRCoral_1,22,Group004Sample0001,Group004,Group004Sample0001SEM.dat,Group004Sample0001BEM.dat,Group002Sample0001BEM.dat,Group004Sample0001ABS.dat
Mo22_0772,RRCoral_1,23,Group004Sample0002,Group004,Group004Sample0002SEM.dat,Group004Sample0001BEM.dat,Group002Sample0001BEM.dat,Group004Sample0002ABS.dat
Mo22_0773,RRCoral_1,24,Group004Sample0003,Group004,Group004Sample0003SEM.dat,Group004Sample0001BEM.dat,Group002Sample0001BEM.dat,Group004Sample0003ABS.dat
Mo22_0774,RRCoral_1,25,Group004Sample0004,Group004,Group004Sample0004SEM.dat,Group004Sample0001BEM.dat,Group002Sample0001BEM.dat,Group004Sample0004ABS.dat
Mo22_0775,RRCoral_1,26,Group004Sample0005,Group004,Group004Sample0005SEM.dat,Group004Sample0001BEM.dat,Group002Sample0001BEM.dat,Group004Sample0005ABS.dat
Mo22_0776,RRCoral_1,27,Group004Sample0006,Group004,Group004Sample0006SEM.dat,Group004Sample0001BEM.dat,Group002Sample0001BEM.dat,Group004Sample0006ABS.dat
Mo22_0777,RRCoral_1,28,Group004Sample0007,Group004,Group004Sample0007SEM.dat,Group004Sample0001BEM.dat,Group002Sample0001BEM.dat,Group004Sample0007ABS.dat
